wave flux error band
33791.9 2.6809227001109523e-13 2.6914508883508448e-14 WISE
46293.0 1.4142204052688646e-13 6.773234812378511e-15 WISE
123337.0 2.08891672944034e-15 2.6935488553014516e-17 WISE
222532.0 1.671576551429064e-16 2.925199815270203e-18 WISE
6710.93 9.495754482261444e-11 2.2739374026290057e-13 GAIA2
5437.48 1.3550379617341298e-10 1.7472505182328245e-12 GAIA2
7979.59 4.5383911258884195e-11 1.504804572381188e-13 GAIA2
5477.32 1.256232057831279e-10 2.3140649677628296e-12 STROMGREN
12412.1 1.2907062323939233e-11 3.6376801104743946e-12 2MASS
16497.1 4.032086175726276e-12 8.31866274038723e-13 2MASS
21909.2 1.4986936822021477e-12 3.754546472026449e-13 2MASS
