hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457078.98512,ba,V,4.478,0.02,62072.087,1142.126
2457114.90325,ba,V,4.549,0.02,58142.61,1069.824
2457442.95655,ba,V,4.739,0.02,48771.457,897.395
2457451.01537,ba,V,4.578,0.02,56612.452,1041.669
2457887.85114,ba,V,4.658,0.02,52547.77,966.879
2457900.93669,ba,V,4.738,0.02,48816.452,898.223
2457070.03309,ba,V,4.441,0.02,64175.717,1180.833
2457452.94757,ba,V,4.568,0.02,57119.378,1050.997
2457227.77731,ba,V,4.507,0.02,60414.24,1111.622
2457131.89912,ba,V,4.505,0.02,60513.675,1113.452
2457788.99255,ba,V,4.677,0.02,51678.435,950.883
2457499.9035,ba,V,4.634,0.02,53758.206,989.151
2457849.81291,ba,V,4.721,0.02,49584.197,912.349
2457488.86288,ba,V,4.601,0.02,55420.979,1019.746
2457915.7845,ba,V,4.698,0.02,50688.424,932.667
2456682.97812,ba,V,4.574,0.02,56804.957,1045.211
2457842.0734,ba,V,4.605,0.02,55220.878,1016.064
2457102.98741,ba,V,4.466,0.02,62731.072,1154.252
2457833.98614,ba,V,4.672,0.02,51888.693,954.752
2457930.84584,ba,V,4.642,0.02,53354.571,981.724
2457960.75985,ba,V,4.648,0.02,53035.465,975.853
2457444.99108,ba,V,4.585,0.02,56235.304,1034.73
2457782.11089,ba,V,4.617,0.02,54568.686,1004.064
2457551.78511,ba,V,4.599,0.02,55479.605,1020.825
2457429.97548,ba,V,4.616,0.02,54632.295,1005.234
2457574.80581,ba,V,4.534,0.02,58908.566,1083.918
2456819.83773,ba,V,4.48,0.02,61948.238,1139.848
2457495.79168,ba,V,4.669,0.02,52033.411,957.415
2457767.05493,ba,V,4.673,0.02,51859.138,954.208
2457505.81748,ba,V,4.604,0.02,55251.676,1016.631
2457409.02793,ba,V,4.615,0.02,54707.356,1006.615
2457165.85865,ba,V,4.524,0.02,59470.177,1094.251
2457111.88419,ba,V,4.543,0.02,58425.021,1075.02
2457828.0826,ba,V,4.64,0.02,53447.561,983.435
2457053.05364,ba,V,4.471,0.02,62444.408,1148.977
2457835.98614,ba,V,4.632,0.02,53818.48,990.26
2457032.08915,ba,V,4.5,0.02,60790.631,1118.548
2457792.98644,ba,V,4.7,0.02,50570.222,930.492
2457144.90679,ba,V,4.547,0.02,58203.134,1070.938
2457825.991,ba,V,4.668,0.02,52079.062,958.255
2457357.15403,ba,V,4.631,0.02,53891.057,991.595
2457046.06507,ba,V,4.456,0.02,63316.592,1165.025
2457007.13666,ba,V,4.488,0.02,61484.432,1131.314
2457523.78518,ba,V,4.682,0.02,51422.39,946.172
2457935.83643,ba,V,8.648,99.99,-6231.67,266.482
2457380.10625,ba,V,4.637,0.02,53606.932,986.368
2457411.02117,ba,V,4.698,0.02,50651.929,931.995
2456822.89076,ba,V,4.532,0.02,59021.938,1086.004
2457514.89024,ba,V,4.585,0.02,56230.424,1034.64
2456782.781,ba,V,4.437,0.02,64438.958,1185.677
2457948.79544,ba,V,4.638,0.02,53567.982,985.651
2457808.04794,ba,V,4.594,0.02,55781.76,1026.384
2457871.90355,ba,V,4.662,0.02,52369.804,963.604
2457511.94235,ba,V,4.516,0.02,59916.066,1102.456
2456800.85427,ba,V,4.386,0.02,67548.783,1242.898
2457532.79548,ba,V,4.613,0.02,54795.666,1008.24
2457478.9304,ba,V,4.577,0.02,56638.215,1042.143
2458312.80831,ba,V,4.746,0.02,48495.187,892.311
2456816.82515,ba,V,4.445,0.02,63951.56,1176.709
2458092.15491,ba,V,4.841,0.02,44407.649,817.101
2458121.08772,ba,V,4.799,0.02,46184.485,849.795
